央视频道,#genre#
CCTV1综合,http://tvbox6.icu/tv/migu.php?id=cctv1
CCTV2财经,http://tvbox6.icu/tv/migu.php?id=cctv2
CCTV3综艺,http://tvbox6.icu/tv/migu.php?id=cctv3
CCTV4中文国际,http://tvbox6.icu/tv/migu.php?id=cctv4
CCTV4美洲,http://tvbox6.icu/tv/migu.php?id=cctv4a
CCTV4欧洲,http://tvbox6.icu/tv/migu.php?id=cctv4o
CCTV5体育,http://tvbox6.icu/tv/migu.php?id=cctv5
CCTV5+体育赛事,http://tvbox6.icu/tv/migu.php?id=cctv5p
CCTV6电影,http://tvbox6.icu/tv/migu.php?id=cctv6
CCTV7国防军事,http://tvbox6.icu/tv/migu.php?id=cctv7
CCTV8电视剧,http://tvbox6.icu/tv/migu.php?id=cctv8
CCTV9纪录,http://tvbox6.icu/tv/migu.php?id=cctv9
CCTV10科教,http://tvbox6.icu/tv/migu.php?id=cctv10
CCTV11戏曲,http://tvbox6.icu/tv/migu.php?id=cctv11
CCTV12社会与法,http://tvbox6.icu/tv/migu.php?id=cctv12
CCTV13新闻,http://tvbox6.icu/tv/migu.php?id=cctv13
CCTV14少儿,http://tvbox6.icu/tv/migu.php?id=cctv14
CCTV15音乐,http://tvbox6.icu/tv/migu.php?id=cctv15
CCTV17农业农村,http://tvbox6.icu/tv/migu.php?id=cctv17
CCTV发现之旅,http://tvbox6.icu/tv/migu.php?id=fxzl
CCTV老故事,http://tvbox6.icu/tv/migu.php?id=lgs
CCTV中学生,http://tvbox6.icu/tv/migu.php?id=zxs
CGTN,http://tvbox6.icu/tv/migu.php?id=cgtn
CGTN纪录,http://tvbox6.icu/tv/migu.php?id=cgtnjl
CCTV西班牙语,http://tvbox6.icu/tv/migu.php?id=cgtne
CCTV法语,http://tvbox6.icu/tv/migu.php?id=cgtnf
CCTV阿拉伯语,http://tvbox6.icu/tv/migu.php?id=cgtna
CCTV俄语,http://tvbox6.icu/tv/migu.php?id=cgtnr
卫视频道,#genre#
河南卫视,http://tvbox6.icu/tv/migu.php?id=hnws
江西卫视,http://tvbox6.icu/tv/migu.php?id=jxws
江苏卫视,http://tvbox6.icu/tv/migu.php?id=jsws
广东卫视,http://tvbox6.icu/tv/migu.php?id=gdws
大湾区卫视,http://tvbox6.icu/tv/migu.php?id=dwqws
东方影视,http://tvbox6.icu/tv/migu.php?id=dfys
上海新闻综合,http://tvbox6.icu/tv/migu.php?id=shxwzh
上海第一财经,http://tvbox6.icu/tv/migu.php?id=dycj
江苏城市,http://tvbox6.icu/tv/migu.php?id=jscs
江苏综艺,http://tvbox6.icu/tv/migu.php?id=jszy
